id,name,acres,buildingcount,buildingsquarefeet,buildingcost,buildingweight,contentcost,permanentresidents,dayoccupants,nightoccupants,buildingloss_wet,contentloss_wet,debris_wet,displacedpopulation_wet,buildings_nodamage_wet,buildings_slightdamage_wet,buildings_moderatedamage_wet,buildings_extensivedamage_wet,buildings_completedamage_wet,casualtiestotal_day_wet,casualtieslevel1_day_wet,casualtieslevel2_day_wet,casualtieslevel3_day_wet,fatalitiestotal_day_wet,casualtiestotal_night_wet,casualtieslevel1_night_wet,casualtieslevel2_night_wet,casualtieslevel3_night_wet,fatalitiestotal_night_wet,buildingloss_dry,contentloss_dry,debris_dry,displacedpopulation_dry,buildings_nodamage_dry,buildings_slightdamage_dry,buildings_moderatedamage_dry,buildings_extensivedamage_dry,buildings_completedamage_dry,casualtiestotal_day_dry,casualtieslevel1_day_dry,casualtieslevel2_day_dry,casualtieslevel3_day_dry,fatalitiestotal_day_dry,casualtiestotal_night_dry,casualtieslevel1_night_dry,casualtieslevel2_night_dry,casualtieslevel3_night_dry,fatalitiestotal_night_dry,injuriestotal_day_wet,injuriestotal_night_wet,injuriestotal_day_dry,injuriestotal_night_dry,total_population,displaced_percap_wet,displaced_percap_dry
73,POWELLHURST-GILBERT,2350.166647919054,7300.079504447501,14681032.698748495,1862252896.6181958,610004.8736663727,1182379744.3304553,25112.73125972006,13410.559858831226,24036.248902734307,54564440.433448814,19135756.543141134,22278.792650041563,93.68561310673708,5143.004278771176,1372.0165765846489,591.8018205685464,158.13506269936642,35.12176582375711,45.26346960825733,36.38644245695695,7.415770947157305,0.5318015047155571,0.929505967238922,19.945912772052182,16.967732872041402,2.5777825967683907,0.1453970552841906,0.255021967340051,52307197.329249755,18135512.6516948,21638.94879312088,69.5328336044043,5147.885460730741,1373.5540571445244,592.8018205685464,157.86632241942863,27.971843584254778,42.757218637806304,34.49150936675479,6.899705056644084,0.49582591751493515,0.8702321146106172,18.131037061321237,15.576140377484638,2.218321677950351,0.1212952122359791,0.2153068786619793,44.33401490882983,19.690912524093985,41.88704034091383,17.915757267670966,25113.0,0.0037306023043779993,0.002768828005416222
74,REED,512.8804454320104,1228.8133955233584,4862087.130592395,718526627.6644146,256146.60062583192,598220025.9419978,4399.0,7510.605009635744,4317.0803311601385,98224706.93909918,38427261.48146697,44824.575905661666,283.8219299954785,684.355459398925,277.8932796154072,149.23108442230878,43.52608880103947,73.80748328567779,90.84378941159657,64.34642958515093,18.44058387847104,2.727633259475941,5.329232982946096,31.8535968212032,24.010310606024582,5.997278218757074,0.6397875369447876,1.2061652732151997,66481327.08528727,25058243.233225916,33998.589020134554,72.1333897728894,719.6301670449305,293.3913588079706,156.17206509311382,45.26133396874075,14.358470608602353,44.94776646739636,33.45984585945986,8.271403730415404,1.0944449900149245,2.1220285180120877,14.22855968645942,10.93218249077486,2.3985328997359447,0.3031282955674151,0.5947513142642941,85.51464672309794,30.647376361726433,42.8256945798902,13.63384368607822,4399.0,0.0645196476461647,0.016397678966330848
75,RICHMOND,841.1973718709548,4898.283578098948,9821656.425941058,1261699976.8038228,413863.74171865534,766338869.4526157,11692.0,8365.22795810568,11170.851281887197,129479194.50427082,40868573.74452023,52891.12936934767,611.9428965462997,2890.115936436294,1150.9134537901764,504.29136859647286,95.80478234726635,257.1580369287386,108.9518693962741,77.85072683232148,21.743162424175548,3.1682145598418265,6.189650030953199,58.19458312615454,44.653349279605216,10.956539412485302,0.9294848953916627,1.6552319391683896,72721808.16040285,23734186.029560924,34806.45359652302,57.96821310353966,3031.691145175597,1210.5172237103732,530.3199222496653,100.80478234726637,24.950504616045905,67.76550941794362,48.95201801359193,12.892724545933973,1.9912875349711392,3.929498878712316,14.76476125948088,11.90647898842322,2.1588509413602246,0.23718548204668322,0.4622335819322183,102.76210381633886,56.53937358748214,63.836030094497055,14.302515411830125,11692.0,0.05233859874669002,0.00495793817170199
76,RIVERVIEW CEMETERY AREA,0.9545893719806763,0.7169082125603865,2564.5787439613528,394332.36714975844,122.89178743961352,313955.55555555556,2.0,5.231884057971015,1.9507246376811593,63375.84541062802,23989.359420289853,25.1768115942029,0.16484637681159423,0.391304347826087,0.1642512077294686,0.0821256038647343,0.021256038647342993,0.057971014492753624,0.11119613526570048,0.077303961352657,0.022821062801932367,0.003720338164251208,0.007350927536231884,0.015367922705314008,0.011772463768115941,0.0029094975845410627,0.000245143961352657,0.0004407710144927536,39903.188405797104,14796.048309178743,18.483091787439612,0.025339806763285025,0.41739130434782606,0.17777777777777778,0.08985507246376812,0.022222222222222223,0.00966183574879227,0.07914985507246378,0.05574531400966183,0.015704444444444444,0.002584038647342995,0.005116067632850242,0.00454319806763285,0.003574222222222222,0.0007416357487922705,7.776541062801931e-05,0.00014957777777777778,0.10384536231884058,0.014927105314009662,0.07403379710144928,0.004393623381642512,2.0,0.08242318840579711,0.012669903381642512
77,ROSE CITY PARK,752.0643042216687,4046.8570418651707,8623209.701453412,1149297397.4914968,386749.02736268146,805619472.815248,8982.0,6478.3910134840835,8878.557610109076,103606304.10282844,41546817.83095307,46637.02963782811,248.06247009116055,2678.5522448698466,880.3070792602974,349.84996983391284,57.8129498861282,80.3347980149865,85.8868091512984,62.69328673409084,16.517419798454224,2.2647557774991838,4.411454649815442,39.17793047696234,29.697584785671104,7.1933935771078295,0.7884775480950831,1.4984946190509363,80720991.58031543,32153776.541582853,38716.46081936832,92.94059118244944,2721.927038569116,895.7354923339796,357.2855435985906,59.88769426736017,12.021273096125684,69.60443498315637,51.38315667230475,12.976531679849112,1.7764416714586089,3.46832486648453,25.124202045179445,19.25651328385599,4.3092862605556785,0.5274777407782723,1.0309082055646486,81.47546231004425,37.67945591087398,66.13613002361247,24.093277285189927,8982.0,0.027617732141077773,0.010347427208021537
78,ROSEWAY,531.0365866378656,3145.6172695004702,4530066.906700918,544372871.8765781,176937.65877286304,310801625.3119297,6200.0,3032.5838447839624,5947.6445377822965,13759121.969031272,4651294.860230596,5278.6441007379135,7.6934186884493805,2234.834197908119,642.534063919416,230.8724129751007,32.41027939502432,4.966315302810948,6.249623570424847,4.936438226029836,0.9830617071937202,0.11259445084449218,0.21752678692887067,3.2300788984753597,2.8342369703665264,0.34700713163739055,0.01730826408583069,0.031527751334369976,13297864.058398258,4448241.315340236,5104.241535574484,5.261822494820916,2235.3803294761788,642.8617428602518,231.0908656023245,32.51950570863623,3.764825853079876,5.841590255157987,4.650931569430743,0.8947604771151109,0.10085819690158775,0.19504048448782801,3.0324229613632374,2.6842200899362405,0.3071524158740476,0.014405727718433091,0.02664484359750609,6.032094384068045,3.198552366089745,5.646550243447442,3.0057782335287193,6200.0,0.0012408739820079645,0.0008486810475517607
79,ROSEWAY/MADISON SOUTH,1015.2784443525027,2496.9573851882506,5718250.531237071,790468244.3111292,254912.3669838643,513118561.81216383,7130.0,6850.695490277201,7017.962350020687,45942561.8038891,15291162.121638391,20373.620190318587,99.63912046752169,1634.3591228796022,547.712453454696,227.3454695904013,43.27016963177492,44.27016963177493,35.34566988167149,27.0940901688043,6.125454544062887,0.7266526477451388,1.399503585850228,12.45376979313198,9.984153299131151,2.0558821253620194,0.1500419425320646,0.2636929293338849,37549277.691352904,12310058.918907735,17637.608605709553,14.383520044683491,1656.115846090194,557.966487381051,230.848158874638,44.02151427389324,8.005378568473313,29.369884167563093,22.748295106743896,4.88091878564336,0.5921055912287957,1.1485835296648734,5.862316528754651,4.960992000413736,0.7322638896565994,0.05794364055026893,0.11111203278030617,33.94619736061234,12.190077367025243,28.221319483616046,5.751199530620604,7130.0,0.013974631201615946,0.0020173239894366746
80,RUSSELL,510.93520199414826,1369.8359907538309,2919247.9104641587,376673912.9529068,126696.67096553165,255951587.9035846,3175.0,3672.404941266347,3048.61711880225,11692419.49988777,3766979.0354528376,5935.413108453473,2.0797224971312462,969.5519900135068,280.7475299575101,103.70755642014154,14.262984212992684,1.565930149679259,11.878140310896544,9.31191198769015,1.8595004622297129,0.2382822709001627,0.46843865294967774,1.478814311873137,1.3184388939880207,0.14351429974088684,0.005955075736090384,0.010905915700964386,11692419.49988777,3766979.0354528376,5935.413108453473,2.0797224971312462,969.5519900135068,280.7475299575101,103.70755642014154,14.262984212992684,1.565930149679259,11.878140310896544,9.31191198769015,1.8595004622297129,0.2382822709001627,0.46843865294967774,1.478814311873137,1.3184388939880207,0.14351429974088684,0.005955075736090384,0.010905915700964386,11.409694720820028,1.4679082694649979,11.409694720820028,1.4679082694649979,3175.0,0.0006550307077578728,0.0006550307077578728
81,SABIN,307.5085131337471,1860.0532007715606,3303114.3343059365,392018657.1829859,123077.49903534462,215022547.75897378,4149.0,2047.842918091924,3950.3596181184907,24404044.513211705,7652172.1320935795,9071.42659907769,121.89453403099823,1198.0828404678043,416.2823559047561,163.55569828361322,24.02156567787456,58.11074043751267,18.714786259539498,13.31804542692149,3.746898994217221,0.5589052860572116,1.090911561802705,11.414956246963127,8.991026948266779,2.057577097249085,0.1372180988535727,0.22913615494069026,13117728.929047532,4579042.430047801,5655.523338081126,5.551926030347348,1234.085439129484,429.39613478738875,169.1472711846883,24.228952041510922,3.1954036284880045,11.916469236637111,8.536060323608435,2.2794101306013683,0.36966436410837217,0.7313321266015436,2.6136240307808296,2.267485141775741,0.29274308786531045,0.018532052070270318,0.03486487411818416,17.623849707195927,11.185822144369434,11.185134818318177,2.578760281711323,4149.0,0.029379256213786027,0.001338135943684586
82,SELLWOOD-MORELAND IMPROVEMENT LEAGUE,2095.048334872726,4598.834126343043,10856962.312523415,1450753460.5101109,501417.6700165842,960423964.9805564,11621.0,7752.848003570672,11170.886216436878,187450770.6467538,62237931.79821248,82706.17981374687,678.3958714081244,2668.742263369532,1071.4701255632183,493.66079250037234,109.99030827165987,254.97063663826196,111.90376307489944,80.68718836269447,22.206968199065265,3.0670496532544353,5.942581744335542,68.98237511655307,52.763257317780464,12.885574861275371,1.178481952754242,2.155027116041346,115686263.3888007,37724874.485207066,60406.81629408104,111.74310799671754,2804.097772263727,1126.848808707256,518.3866586226402,116.14780993790873,33.35307681151371,74.42254609406537,54.29724386797589,14.154879884471752,2.0228805923680344,3.9474329850499217,23.662581819254406,18.73227958356551,3.7176734001563134,0.41166743057296135,0.8009577000991009,105.9612062150142,66.82731413181007,70.47500434481569,22.861620414294816,11621.0,0.058376720713202344,0.009615618965383146
